"logical_key","version_number","approved_answer_ro","approved_answer_en","alternative_questions_ro","administrative_reviewer_reference","clinical_reviewer_reference","reviewed_at","valid_from","valid_until","requires_clinical_review"
"account_password_changed_login_failed","1","Dacă problema persistă după resetarea parolei, contactați echipa proiectului.","","Mi-am schimbat parola dar nu mă pot conecta.","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","","2026-08-10T09:47:33+03:00","","","false"
"account_email_already_used","1","Dacă ați creat un singur cont, poate exista o problemă tehnică. Contactați echipa proiectului.","","Apare mesajul ""This email has already been used.""||Apare mesajul „Acest email a mai fost utilizat”.","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","","2026-08-10T09:47:33+03:00","","","false"
"account_email_not_activated","1","Contul nu a fost confirmat din email. Intrați în inbox-ul email-ului/în folderul de spam/junk. Verificati dacă ați primit un email de confirmare al contului. Accesați email-ul si confirmati-va crearea contului.","","Apare mesajul ""This email has not been activated.""||Apare mesajul ""This email is not valid""||Apare mesajul „Acest email nu a fost activat”.||Apare mesajul „Acest email nu este valid”.","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","","2026-08-10T09:47:33+03:00","","","false"
"account_changed_phone","1","Instalați din nou aplicația și conectați-vă cu același email și aceeași parolă.","","Mi-am schimbat telefonul.","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","","2026-08-10T09:47:33+03:00","","","false"
"questionnaires_required","1","Trebuie completate 4 chestionare inițiale: Nutrition (Nutritie), Health Lifestyle (Stilul de viata), MET-hours (Ore metabolice), Socioeconomic (Socioeconomic). Apoi saptamanal doar MET-hours (Ore metabolice) si Nutrition (Nutritie) pana la terminarea pilotului.","","Ce chestionare trebuie completate?","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","","2026-08-10T09:47:33+03:00","","","false"
"questionnaires_only_one_visible","1","Contactați echipa proiectului.","","Eu văd doar un chestionar.","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","","2026-08-10T09:47:33+03:00","","","false"
"questionnaires_completion_time","1","Aproximativ 10-15 minute.","","Cât durează completarea?","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","","2026-08-10T09:47:33+03:00","","","false"
"questionnaires_modify_answers","1","Odată ce un chestionar a fost completat si salvat, nu se mai pot face modificări.","","Pot modifica răspunsurile?","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","","2026-08-10T09:47:33+03:00","","","false"
"questionnaires_missed_week","1","Aveti la dispozitie o saptamana din momentul in care primiti chestionarele saptamanale. Pentru a evita sa se stearga, incercati sa le completati in primele zile.","","Dacă uit să completez?","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","","2026-08-10T09:47:33+03:00","","","false"
"activity_no_wearable","1","Nu este nici o problema. Nu este obligatoriu sa aveti un smartwatch/aparat purtabil/wearable/bratara fitness.","","Nu am smartwatch.||Nu am aparat purtabil.||Nu am wearable.||Nu am bratara fitness.","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","","2026-08-10T09:47:33+03:00","","","false"
"activity_add_steps","1","Prin Android Sync sau prin wearable. Puteti sa configurati aparatul dumneavoastra wearable din setarile aplicatiei. În ecranul principal apăsați pe cele trei linii suprapuse din colțul din dreapta sus a ecranului. Apăsați pe Activity Tracking/Urmarirea activitatii. Conectati unul dintre dispozitivele care apar pe ecran urmărind pașii ce va vor apărea.","","Cum introduc pașii?","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","","2026-08-10T09:47:33+03:00","","","false"
"activity_add_heart_rate","1","Prin Android Sync sau prin wearable. Puteti sa configurati aparatul dumneavoastra wearable din setarile aplicatiei. În ecranul principal apăsați pe cele trei linii suprapuse din colțul din dreapta sus a ecranului. Apăsați pe Activity Tracking/Urmarirea activitatii. Conectati unul dintre dispozitivele care apar pe ecran urmărind pașii ce va vor apărea.","","Cum introduc ritmul cardiac?","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","","2026-08-10T09:47:33+03:00","","","false"
"activity_no_android","1","Nici o problema. Daca nu aveti wearable/dispozitiv purtabil si nici Android nu o sa puteti sa va adaugati pasii. Configurarea acestor dispozitive purtabile nu este obligatorie.","","Nu am Android.","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","","2026-08-10T09:47:33+03:00","","","false"
"activity_add_exercise","1","Prin chestionarul saptamanal MET-hours/Ore metabolice .","","Cum introduc exercițiile?||Cum introduc exercițiile fizice?","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","","2026-08-10T09:47:33+03:00","","","false"
"activity_met_hours_definition","1","Acesta este chestionarul privind activitatea fizică pe care trebuie sa il completati odata pe saptamana .","","Ce este MET-hours?","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","","2026-08-10T09:47:33+03:00","","","false"
"wearable_required","1","Nu este obligatoriu sa detineti un aparat purtabil/wearable/bratara fitness.","","Este obligatoriu smartwatch-ul?||Este obligatorie bratara fitness?||Este obligatoriu aparatul purtabil?","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","","2026-08-10T09:47:33+03:00","","","false"
"wearable_connect","1","În ecranul principal apăsați pe cele trei linii suprapuse din colțul din dreapta sus a ecranului. Apăsați pe Activity Tracking/Urmarirea activitatii. Conectati unul dintre dispozitivele care apar pe ecran urmărind pașii ce va vor apărea.","","Cum conectez dispozitivul purtabil/wearable/bratara fitness?","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","","2026-08-10T09:47:33+03:00","","","false"
"wearable_steps_missing","1","Verificați sincronizarea. Încercați sa conectati iar dispozitivul purtabil/wearable/bratara fitness. Dacă nu funcționează nici așa, contactați echipa proiectului.","","De ce nu apar pașii?","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","","2026-08-10T09:47:33+03:00","","","false"
"wearable_sync_failed","1","Reporniți aplicația. Incercati sa conectati din nou dispozitivul. Dacă problema persistă, contactați echipa proiectului.","","Nu se sincronizează.","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","","2026-08-10T09:47:33+03:00","","","false"
"sleep_add_data","1","Datele despre somn se introduc în secțiunea dedicată Somn/Sleep. Apăsați pe “Adaugă” la secțiunea de somn. Apăsați pe plus, în josul paginii. Adaugati ora la care v-ați culcat si ora la care v-ati trezit. Apasati butonul “Salvare”.","","Cum introduc informațiile despre somn?","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","","2026-08-10T09:47:33+03:00","","","false"
"sleep_manual","1","Da, datele despre somn se introduc manual în secțiunea dedicată Somn/Sleep. Apăsați pe “Adaugă” la secțiunea de somn. Apăsați pe plus, în josul paginii. Adaugati ora la care v-ați culcat si ora la care v-ati trezit. Apasati butonul “Salvare”.","","Trebuie introduse manual datele despre somn?","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","","2026-08-10T09:47:33+03:00","","","false"
"nutrition_where","1","În chestionarul Nutrition/Nutritie.","","Unde introduc dieta?","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","","2026-08-10T09:47:33+03:00","","","false"
"nutrition_complete_later","1","Da, puteți sa completati chestionarul Nutrition/Nutritie pana la expirarea acestuia. Veti primi notificari legate de data și ora în care acesta expira.","","Pot completa mai târziu datele despre alimentatie?","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","","2026-08-10T09:47:33+03:00","","","false"
"liquids_add","1","Consumul de lichide se introduce în secțiunea Liquids/Lichide. Puteti înregistra cantitatea aproximativă de lichide consumată pe parcursul zilei. Dacă apăsați pe plusul de langa pahar, o sa vi se adauge ca ați consumat 1 pahar de apa (250 ml). Puteți sa adaugati si Alte lichide, cum ar fi cafea, ceai, băuturi (sucuri etc), alcool (vin, tărie etc) apasand pe plus in dreptul lor. În josul paginii aveți ca masura ce reprezinta 1 unitate de bautura alcoolica.
1 unitate = 125 ml bautura alcoolica cu 12% alcool (ex: vinul) SAU 25 ml bautura alcoolica cu alcool 40% (ex: tărie) SAU 250 ml bautura alcoolica cu 5% alcool (ex: bere).","","Cum introduc consumul de apă?","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","","2026-08-10T09:47:33+03:00","","","false"
"weight_add","1","Greutatea se introduce manual în secțiunea Weight/Greutate. Apăsați pe plus pentru a introduce greutatea. O sa va redirectioneze către pagina în care alegeți modalitatea în care va adaugati greutatea. Dacă nu aveți dispozitive purtabile (wearables) ca de exemplu ceasuri inteligente, alegeți varianta “Manual”. Odata ce apasati “Manual”, va va aparea o pagina in care puteti sa selectati ziua, ora si sa adaugati greutatea. După ce apăsați pe “Salvare”, va apare mesajul “Datele au fost adaugate cu succes”.","","Cum introduc greutatea?","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","","2026-08-10T09:47:33+03:00","","","false"
"profile_wrong_birth_date","1","Mergeți în Profil și modificați data. De pe ecranul principal apăsați pe cele trei linii suprapuse din colțul din dreapta sus al ecranului. Apoi, pe următoarea pagina, în partea de sus va apare “Editare Profil”. Puteți sa modificati luna și anul în care v-ati nascut.","","Am introdus greșit data nașterii.","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","","2026-08-10T09:47:33+03:00","","","false"
"profile_birth_year_before_1970","1","Este o problema a dispozitivului Android. Salvati anul 1970 si dupa crearea contului puteti sa va modificati anul nasterii din setari. De pe ecranul principal apăsați pe cele trei linii suprapuse din colțul din dreapta sus al ecranului. Apoi, pe următoarea pagina, în partea de sus va apare “Editare Profil”. Puteți sa modificati anul în care v-ati nascut.","","Daca adaug anul nasterii inainte de 1970, acesta se schimbă automat în 1970.","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","","2026-08-10T09:47:33+03:00","","","false"
"profile_birth_year_unselectable","1","Dupa crearea contului puteți sa va adaugati anul nașterii din setari. De pe ecranul principal apăsați pe cele trei linii suprapuse din colțul din dreapta sus al ecranului. Apoi, pe următoarea pagina, în partea de sus va apare “Editare Profil”. Puteți sa adaugati de-acolo anul în care v-ati nascut.","","Nu pot selecta anul nașterii.","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","","2026-08-10T09:47:33+03:00","","","false"
"depo_patient_missing","1","Verificați dacă: este înregistrat si daca și-a confirmat crearea contului din inbox-ul email-ului. Daca da, contactați echipa proiectului.","","Pacientul nu apare în DEPO.","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","","2026-08-10T09:47:33+03:00","","","false"
"depo_risk_missing","1","Cel mai probabil nu a completat toate datele demografice și chestionarele inițiale. Verificati dacă sunt completate cele 4 chestionare inițiale și dacă are trebute varsta, sexul biologic, greutatea și înălțimea. Dacă abia și-a introdus datele și a completat chestionarele, poate dura și câteva zile sa i se calculeze riscul.","","Pacientul apare fără risc.||La pacient apare ca riscul nu este calculat inca.","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","2026-08-10T09:47:33+03:00","","","true"
"depo_risk_score_missing","1","Scorul este calculat doar după completarea tuturor informațiilor necesare. Verificati dacă sunt completate cele 4 chestionare inițiale și dacă are trebute varsta, sexul biologic, greutatea și înălțimea. Dacă abia și-a introdus datele și a completat chestionarele, poate dura și câteva zile sa i se calculeze riscul.","","De ce nu apare scorul de risc?","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","2026-08-10T09:47:33+03:00","","","true"
"depo_pyramid","1","Motorul care analizează datele din NELI și generează scorul de risc în DEPO.","","Ce este PYRAMID?","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","2026-08-10T09:47:33+03:00","","","true"
"depo_recommendation_validation","1","Medicul este cel care verifica recomandările generate de inteligenta artificiala. Acesta are 3 opțiuni: acceptarea recomandării, editarea recomandării sau respingerea recomandării.","","Cine validează recomandările?","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","2026-08-10T09:47:33+03:00","","","true"
"depo_ai_decision","1","Nu. Inteligenta artificiala oferă recomandări. Decizia aparține clinicianului.","","Inteligenta artificiala ia decizia?","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","2026-08-10T09:47:33+03:00","","","true"
"depo_human_in_loop","1","Aceasta înseamnă ca medicul verifică și validează recomandările generate automat.","","Ce este Human-in-the-Loop?","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","2026-08-10T09:47:33+03:00","","","true"
"privacy_data_access","1","Doar persoanele autorizate pot vedea datele dumneavoastra.","","Cine vede datele mele?","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","","2026-08-10T09:47:33+03:00","","","false"
"privacy_protected","1","Da. Datele sunt prelucrate conform GDPR.","","Sunt datele mele protejate?","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","","2026-08-10T09:47:33+03:00","","","false"
"privacy_doctor_access","1","Doar pe cele ale pacienților din cabinetul său.","","Medicul vede toate datele?","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","","2026-08-10T09:47:33+03:00","","","false"
"technical_app_not_start","1","Reporniți telefonul și actualizați aplicația. Dacă tot nu pornește, contactați echipa proiectului.","","Aplicația nu pornește.","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","","2026-08-10T09:47:33+03:00","","","false"
"technical_login_failed","1","Verificați ca ați scris corect email-ul și parola. Dacă le-ați scris corect și tot nu va puteți conecta, contactați echipa proiectului.","","Nu mă pot conecta.","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","","2026-08-10T09:47:33+03:00","","","false"
"technical_app_closes","1","Actualizați aplicația. Dacă tot se închide, contactați echipa proiectului.","","Aplicația se închide.","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","","2026-08-10T09:47:33+03:00","","","false"
"technical_password_changed_still_login","1","Contactați echipa proiectului.","","Am schimbat parola și tot pot sa ma conectez.","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","","2026-08-10T09:47:33+03:00","","","false"
"technical_patient_missing_depo","1","Contactați echipa proiectului.","","Pacientul nu apare în DEPO deși este înrolat.","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","","2026-08-10T09:47:33+03:00","","","false"
"contact_unknown_answer","1","Contactați:
medicul de familie;
echipa locală LIP-01 de la MERIC;
echipa de suport tehnic locală, dacă problema este de natură tehnică, de la BEIA.","","Cui mă adresez dacă nu găsesc răspunsul?","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","","2026-08-10T09:47:33+03:00","","","false"
